bin_name,slice,cluster_id,sct_ncount
bin-608,56,0,0
bin-609,56,0,0
bin-610,56,0,0
bin-611,56,0,0
bin-612,56,0,0
bin-613,56,9,9
bin-614,56,0,0
bin-615,56,4,4
bin-616,56,0,0
bin-617,56,0,0
bin-618,56,4,4
bin-619,56,12,12
bin-620,56,0,0
bin-621,56,20,20
bin-622,56,0,0
bin-623,56,0,0
bin-624,56,0,0
bin-625,56,0,0
bin-626,56,0,0
bin-627,56,0,0
bin-628,56,0,0
bin-629,56,2,2
bin-630,56,3,3
bin-631,56,3,3
bin-632,56,3,3
bin-633,56,3,3
bin-634,56,3,3
bin-635,56,3,3
bin-636,56,3,3
bin-637,56,3,3
bin-638,56,3,3
bin-639,56,3,3
bin-644,56,5,5
bin-645,56,26,26
bin-646,56,5,5
bin-647,56,2,2
