bin_name,slice,cluster_id,sct_ncount
bin-1528,58,4,4
bin-1529,58,12,12
bin-1530,58,1,1
bin-1531,58,1,1
bin-1532,58,1,1
bin-1533,58,1,1
bin-1534,58,1,1
bin-1535,58,1,1
bin-1536,58,1,1
bin-1537,58,0,0
bin-1538,58,7,7
bin-1539,58,30,30
bin-1540,58,2,2
bin-1541,58,2,2
bin-1542,58,0,0
bin-1543,58,2,2
bin-1544,58,2,2
bin-1545,58,2,2
bin-1546,58,2,2
bin-1547,58,0,0
bin-1548,58,0,0
bin-1549,58,0,0
bin-1550,58,2,2
bin-1551,58,0,0
bin-1552,58,0,0
bin-1553,58,0,0
bin-1554,58,20,20
bin-1555,58,0,0
bin-1556,58,2,2
bin-1557,58,2,2
bin-1558,58,2,2
bin-1559,58,0,0
bin-1560,58,2,2
bin-1561,58,2,2
bin-1562,58,24,24
bin-1563,58,2,2
bin-1564,58,2,2
bin-1565,58,2,2
bin-1566,58,20,20
bin-1567,58,8,8
bin-1569,58,22,22
bin-1570,58,1,1
bin-1571,58,1,1
bin-1572,58,1,1
bin-1573,58,1,1
bin-1574,58,1,1
bin-1575,58,1,1
bin-1576,58,1,1
bin-1577,58,1,1
bin-1578,58,1,1
bin-1579,58,5,5
bin-1580,58,1,1
bin-1581,58,31,31
bin-1582,58,8,8
bin-1583,58,1,1
bin-1584,58,1,1
bin-1585,58,0,0
bin-1586,58,5,5
bin-1588,58,5,5
bin-1589,58,27,27
bin-1590,58,5,5
bin-1591,58,27,27
bin-1592,58,0,0
bin-1593,58,0,0
bin-1594,58,18,18
bin-1595,58,2,2
bin-1596,58,2,2
bin-1597,58,1,1
bin-1598,58,0,0
bin-1599,58,2,2
bin-1600,58,2,2
bin-1601,58,2,2
bin-1602,58,0,0
bin-1603,58,2,2
bin-1604,58,2,2
bin-1605,58,0,0
bin-1606,58,2,2
bin-1607,58,3,3
bin-1608,58,0,0
bin-1609,58,2,2
bin-1610,58,2,2
bin-1611,58,2,2
bin-1612,58,2,2
bin-1613,58,0,0
bin-1614,58,27,27
bin-1615,58,2,2
bin-1616,58,8,8
bin-1618,58,10,10
bin-1619,58,1,1
bin-1620,58,1,1
bin-1621,58,1,1
bin-1622,58,1,1
bin-1623,58,1,1
bin-1624,58,1,1
bin-1625,58,5,5
bin-1626,58,1,1
bin-1627,58,1,1
bin-1628,58,4,4
bin-1629,58,1,1
bin-1630,58,1,1
bin-1631,58,1,1
bin-1632,58,1,1
bin-1633,58,1,1
bin-1634,58,0,0
bin-1635,58,23,23
bin-1639,58,13,13
bin-1640,58,15,15
bin-1641,58,7,7
bin-1642,58,5,5
bin-1643,58,27,27
bin-1644,58,0,0
bin-1645,58,12,12
bin-1646,58,5,5
bin-1647,58,1,1
bin-1648,58,12,12
bin-1649,58,0,0
bin-1650,58,23,23
bin-1651,58,1,1
bin-1652,58,3,3
bin-1653,58,3,3
bin-1654,58,3,3
bin-1655,58,2,2
bin-1656,58,2,2
bin-1657,58,2,2
bin-1658,58,2,2
bin-1659,58,2,2
bin-1660,58,2,2
bin-1661,58,0,0
bin-1662,58,2,2
bin-1663,58,0,0
bin-1664,58,9,9
bin-1665,58,7,7
bin-1667,58,18,18
bin-1668,58,5,5
bin-1669,58,1,1
