bin-0,0,5100,13100,-1,-1,56,-1,-1,-1
bin-1,0,5150,13100,-1,-1,56,-1,-1,-1
bin-2,0,5200,13100,-1,-1,56,-1,-1,-1
bin-3,0,5250,13100,-1,-1,56,-1,-1,-1
bin-4,0,5300,13100,-1,-1,56,-1,-1,-1
bin-5,0,5350,13100,-1,-1,56,-1,-1,-1
bin-6,0,5400,13100,-1,-1,56,-1,-1,-1
bin-7,0,5450,13100,-1,-1,56,-1,-1,-1
bin-8,0,5500,13100,-1,-1,56,-1,-1,-1
bin-9,0,5550,13100,-1,-1,56,-1,-1,-1
bin-10,0,5600,13100,-1,-1,56,-1,-1,-1
bin-11,0,5650,13100,-1,-1,56,-1,-1,-1
bin-12,0,5700,13100,-1,-1,56,-1,-1,-1
bin-13,0,5750,13100,-1,-1,56,-1,-1,-1
bin-14,0,5800,13100,-1,-1,56,-1,-1,-1
bin-15,0,5850,13100,-1,-1,56,-1,-1,-1
bin-16,0,5900,13100,-1,-1,56,-1,-1,-1
bin-17,1,5950,13100,-1,-1,56,-1,-1,-1
bin-18,1,6000,13100,-1,-1,56,-1,-1,-1
bin-19,1,6050,13100,-1,-1,56,-1,-1,-1
bin-20,1,6100,13100,-1,-1,56,-1,-1,-1
bin-21,1,6150,13100,-1,-1,56,-1,-1,-1
bin-22,1,6200,13100,-1,-1,56,-1,-1,-1
bin-23,1,6250,13100,-1,-1,56,-1,-1,-1
bin-24,1,6300,13100,-1,-1,56,-1,-1,-1
bin-25,1,6350,13100,-1,-1,56,-1,-1,-1
bin-26,1,6400,13100,-1,-1,56,-1,-1,-1
bin-27,1,6450,13100,-1,-1,56,-1,-1,-1
bin-28,1,6500,13100,-1,-1,56,-1,-1,-1
bin-29,1,6550,13100,-1,-1,56,-1,-1,-1
bin-30,0,6600,13100,-1,-1,56,-1,-1,-1
bin-31,0,6650,13100,-1,-1,56,-1,-1,-1
bin-32,0,6700,13100,-1,-1,56,-1,-1,-1
bin-33,0,6750,13100,-1,-1,56,-1,-1,-1
bin-34,0,6800,13100,-1,-1,56,-1,-1,-1
bin-35,0,6850,13100,-1,-1,56,-1,-1,-1
bin-36,0,6900,13100,-1,-1,56,-1,-1,-1
bin-37,0,6950,13100,-1,-1,56,-1,-1,-1
bin-38,0,7000,13100,-1,-1,56,-1,-1,-1
bin-39,0,7050,13100,-1,-1,56,-1,-1,-1
bin-40,0,7100,13100,-1,-1,56,-1,-1,-1
bin-41,0,7150,13100,-1,-1,56,-1,-1,-1
bin-42,0,7200,13100,-1,-1,56,-1,-1,-1
bin-43,0,7250,13100,-1,-1,56,-1,-1,-1
